,coef,std_err,z,p_value,ci_low,ci_high,train_deals,premium_%,ppm2_400m2_2025Q4
الرياض/السليمانية,1.0410656425350588,0.0553329988452677,18.81455305623825,5.739038519208591e-79,0.9326129647983341,1.1495183202717836,569,198.61775150501853,6588.194216460369
الرياض/السويدى,0.2011209705236728,0.0523354804175692,3.842918206138332,0.00012157999699634862,0.09854342890523718,0.3036985121421084,1221,28.92355869130787,2844.3501414593193
الرياض/الشرفية,0.5078095955849335,0.0784853946254035,6.4701158477780005,9.792780939403e-11,0.35397822211914265,0.6616409690507244,74,75.19651478075615,3865.2379492020705
الرياض/الشرق,-0.8691164930503624,0.08265226078551981,-10.515338416521894,7.341675696433648e-26,-1.0311149241899813,-0.7071180619107436,130,-55.788621111610006,975.4046744583217
الرياض/الشعلة,-1.5130811072466404,0.05846525754888252,-25.880004137184557,1.118459296768593e-147,-1.62767301204245,-1.3984892024508306,220,-76.77991625925948,512.2884377618831
الرياض/الشفاء,0.07373612206052327,0.053477694723322575,1.3788201313091686,0.1679502181809842,-0.031080159597188975,0.1785524037182355,854,13.503629226725478,2504.151042093047
الرياض/الشميسي,-0.21804800399674287,0.07851014514385984,-2.777322645337079,0.0054808742471414325,-0.37192788847870817,-0.06416811951477758,190,-15.220761321460163,1870.4249399871414
الرياض/الشهداء,1.0535766227993935,0.0557644579356646,18.893335680137046,1.294045150661892e-79,0.9442782852454908,1.162874960353296,165,202.37722058508024,6671.136748595159
الرياض/الصالحية,-0.4572603558375303,0.09669309730809399,-4.728986541620008,2.2564333881211385e-06,-0.6467788265613945,-0.26774188511366603,71,-33.257740094961704,1472.48771542799
الرياض/الصحافة,1.275267200386137,0.05559178800962443,22.939848600756537,1.8607612318825687e-116,1.166307295887273,1.3842271048850008,668,277.4227418155844,8326.813500731418
الرياض/الصفاء,0.5544384525992175,0.050824433711764906,10.908895822500337,1.0451810039111773e-27,0.4548225625241583,0.6540543426742768,878,83.55918370832435,4049.7376542099
الرياض/الصناعية,0.5278707904425041,0.10096795383381563,5.228102287893573,1.7125875995767298e-07,0.3299736009282255,0.7257679799567827,66,78.7466571888933,3943.5622536448564
الرياض/الضباط,0.7586526498323148,0.06631586556729745,11.439987148511738,2.6392462326003772e-30,0.6286735533204119,0.8886317463442178,125,125.14650862609341,4967.2496645322335
الرياض/العارض,1.060120320314505,0.05129838318109962,20.66576477804267,7.043245911932687e-95,0.9595754892795498,1.1606651513494604,1218,204.3623736890869,6714.9337905750435
الرياض/العريجاء,0.07076186269224534,0.05252759933457168,1.3471368116698332,0.1779361742252369,-0.03219223200351515,0.17371595738800583,1316,13.166541535771636,2496.7141125575813
الرياض/العزيزية,0.16572791922873195,0.05227825658055684,3.170111822175205,0.001523802832783834,0.06326253633084054,0.26819330212662335,1556,24.440365495113102,2745.440591248108
الرياض/العقيق,1.116019946392514,0.05484845228211647,20.347337070738025,4.90190183091058e-92,1.0085169799195657,1.2235229128654623,449,221.8606333946319,7100.985633806659
الرياض/العلا,-1.378363646684896,0.051290205963469046,-26.873817735624268,4.444494779615812e-159,-1.4788924503732954,-1.2778348429964967,1508,-73.4312677982474,586.1673224316974
الرياض/العليا,1.03389635376448,0.05462200605089072,18.928201809380823,6.6804097451089546e-80,0.9268372219047343,1.1409554856242259,539,196.48453058789883,6541.130458067671
الرياض/العمل,0.48568675689714885,0.1314342552922811,3.6952829064012844,0.00021964208439754343,0.22807561652427794,0.7432978972700197,54,71.3632284722274,3780.666839277742
الرياض/العود,-0.20655174299406776,0.07757952963671719,-2.6624516023916445,0.00775737242359631,-0.3586076210820335,-0.05449586490610206,164,-14.240493152969247,1892.0519097358683
الرياض/الغدير,1.1137654460571296,0.06099125704604397,18.26106724142966,1.689561732751804e-74,0.9942225822468834,1.2333083098673758,211,221.13581584640625,7084.994492104126
الرياض/الغنامية,-1.2485070357227663,0.0566790210233856,-22.027674670097706,1.5639863184318938e-107,-1.359597916928602,-1.1374161545169306,523,-69.74711190323112,667.4482725351497
الرياض/الفاخرية,0.14743090878745427,0.08550947392998941,1.7241470682905011,0.08468129684866198,-0.020167660115324976,0.3150294776902335,53,22.184182473986013,2695.6640061115863
الرياض/الفاروق,0.37438721419945376,0.05197980848597231,7.202550857810276,5.909638842339888e-13,0.272506789566948,0.4762676388319595,405,53.31366243455129,3382.45191072873
الرياض/الفرسان,-1.3472967196776642,0.05497136656670497,-24.50906360573714,1.1825115950905795e-132,-1.4550405981484058,-1.2395528412069226,256,-72.59290366369433,604.6635629087397
الرياض/الفلاح,1.0615258615270184,0.0706502400624614,15.025084990348661,5.0296790123030453e-51,0.9230513910045941,1.2000003320494428,175,204.7904683306994,6724.3785426962895
الرياض/الفيحاء,0.6212548462268319,0.06223368560794914,9.982613759058466,1.8161835327947956e-23,0.4992768224352516,0.7432328700184122,226,96.24297034883477,4329.57115160472
الرياض/الفيصلية,-0.34417707291081323,0.11572098468926754,-2.974197582530022,0.002937558564464554,-0.5709902029017776,-0.11736394291984883,99,-25.26701081027156,1648.7815767050581
الرياض/القادسية,0.5734611013914798,0.05281251445452948,10.858432084032248,1.818445355547876e-27,0.469948573060602,0.6769736297223575,999,87.08438865818616,4127.511780983896
الرياض/القدس,0.998880014694409,0.05261865500621859,18.9833817412543,2.3403606130191766e-80,0.8957474508822205,1.1020125785065975,548,186.28239094599755,6316.047799566828
الرياض/القيروان,1.0335697037148697,0.051530828845446,20.057307962478284,1.7426666986170734e-89,0.9325692791777955,1.1345701282519438,1040,196.38769971703897,6538.994146411188
الرياض/المحمدية,1.2464768720312003,0.06910600586934681,18.037171391265385,9.950864065536781e-73,1.1110291005272805,1.38192464353512,169,266.7115464168285,8090.499901751435
الرياض/المدينة الصناعية الجديدة,-0.09455726617571628,0.08845335155525023,-1.0690071604200704,0.285066442923513,-0.2679258352240067,0.07881130287257418,73,-4.077418468324378,2116.272705456737
الرياض/المربع,0.5930263365840035,0.06432192889366245,9.219660336436732,2.980428225978948e-20,0.4669553559524251,0.7190973172155819,210,90.78078120421075,4209.062699744587
الرياض/المرجان,0.12619056196337686,0.053646804811965654,2.352247489961055,0.018660354595220658,0.021042824531924173,0.23133829939482953,331,19.616315792143535,2639.010962758697
الرياض/المرسلات,0.91185713716822,0.07047759196603517,12.93825614257175,2.7377340319370724e-38,0.7737210569147911,1.0499932174216489,198,162.4225070168408,5789.643898542057
الرياض/المرقب,0.11209103041942906,0.09441834281510855,1.187174304032506,0.23515887428537863,-0.07296892149818371,0.29715098233704185,110,17.94161576107596,2602.063229399315
الرياض/المروة,0.1799954994169579,0.06107753734904924,2.9469999484149105,0.003208732569750972,0.060283526212821376,0.29970747262109443,212,26.22855462021567,2784.8921549698284
الرياض/المروج,1.1465816051812787,0.055461082280511775,20.673624783989673,5.984822610376071e-95,1.0378778839114757,1.2552853264510817,302,231.84908260358063,7321.353790013535
الرياض/المشاعل,0.06982071792837838,0.07381779264942688,0.9458521505779605,0.3442240018847682,-0.0748621556644983,0.21450359152125506,112,13.060085540869215,2494.3654485334587
الرياض/المشرق,-1.0657819295485298,0.05125569101925647,-20.79343597471199,4.962704090900164e-96,-1.1662430839462725,-0.9653207751507871,1188,-63.681881086339985,801.2612102722685
الرياض/المصانع,0.04649509113803409,0.08448063473375765,0.5503638944542056,0.5820698078234313,-0.11908695294013089,0.2120771352161991,86,10.453407566222594,2436.856138821666
الرياض/المصفاة,-0.8029566600052362,0.052675839189193024,-15.243357720819583,1.8225817030095472e-52,-0.9062013048160545,-0.699712015194418,1235,-52.7646747061129,1042.1198851890126
الرياض/المصيف,0.8991228115786414,0.05979686285529938,15.03628733424363,4.2471085499345536e-51,0.7819209603822546,1.0163246627750282,248,159.10192095539077,5716.384134931065
الرياض/المعذر,1.179742066001373,0.060632810866091895,19.457156103266332,2.5346498385106416e-84,1.060901756703833,1.2985823752989132,234,243.03783798849315,7568.203460352141
الرياض/المعيزلية,0.43270044163840454,0.05293154116518006,8.174718364766747,2.965577717562489e-16,0.3289546209546516,0.5364462623221574,514,62.51968478211549,3585.557931322448
الرياض/المغرزات,1.117142723841041,0.057397244531044264,19.46335112370796,2.246070275552082e-84,1.0046441245601943,1.2296413231218877,281,222.22221420478076,7108.962937869132
الرياض/الملز,0.48844820884446755,0.057039443039821475,8.563341134019536,1.096429095074056e-17,0.3766509004864175,0.6002455172025176,468,71.83709377018954,3791.1213973195217
الرياض/الملقا,1.2749805055840733,0.05102404785453813,24.987835328526863,8.289668350054977e-138,1.1749733717891786,1.374987639378968,2622,277.3145521867684,8324.426588756978
