year,quarter,region,city,district,prop_type,prop_type_en,prop_class,prop_class_en,deed_count,total_price,area_m2,avg_ppm2,max_ppm2,min_ppm2
2024,1,الرياض,الرياض,الروابي,فيلا,villa,سكني,residential,2,5300000.0,671.005,,,
2024,1,الرياض,الرياض,الروضة,أرض,land,تجاري,commercial,9,43480000.0,8719.3,4791.80565911856,5777.78,4166.67
2024,1,الرياض,الرياض,الروضة,أرض,land,سكني,residential,28,58333201.12,17987.75,3322.09465434621,4012.35,1959.58
2024,1,الرياض,الرياض,الروضة,شقة,apartment,سكني,residential,40,31542250.0,5042.84,5581.68036647093,6982.62,5242.64
2024,1,الرياض,الرياض,الروضة,فيلا,villa,سكني,residential,27,49261500.0,8277.43,6517.82973572492,8170.6,5261.99
2024,1,الرياض,الرياض,الريان,أرض,land,تجاري,commercial,3,14880000.0,3970.0,,,
2024,1,الرياض,الرياض,الريان,أرض,land,سكني,residential,14,35102600.0,6530.5,5012.44043140206,5400.0,4753.62
2024,1,الرياض,الرياض,الريان,شقة,apartment,سكني,residential,44,42324075.62,6036.18,6702.40942412378,7105.95,6412.73
2024,1,الرياض,الرياض,الزاهر,أرض,land,تجاري,commercial,2,2500000.0,1800.0,,,
2024,1,الرياض,الرياض,الزاهر,أرض,land,سكني,residential,170,105206000.0,164188.84,652.475695463568,752.688172043011,537.63
2024,1,الرياض,الرياض,الزهراء,أرض,land,تجاري,commercial,1,20000000.0,5000.0,,,
2024,1,الرياض,الرياض,الزهراء,أرض,land,سكني,residential,14,46673225.0,10531.54,4081.80436128386,4200.0,3353.55
2024,1,الرياض,الرياض,الزهرة,أرض,land,تجاري,commercial,5,15776000.0,4500.0,,,
2024,1,الرياض,الرياض,الزهرة,أرض,land,سكني,residential,32,31528796.22,13002.55,2268.83796982638,4800.0,1576.92
2024,1,الرياض,الرياض,الزهرة,شقة,apartment,سكني,residential,9,5510000.0,1417.86,4020.93923071087,4348.1,3218.82
2024,1,الرياض,الرياض,الزهرة,فيلا,villa,سكني,residential,17,12810323.0,3016.92,4290.82270963655,4599.49,3857.69
2024,1,الرياض,الرياض,الزهور,أرض,land,سكني,residential,18,9045000.0,11713.75,779.141104294479,855.56,755.56
2024,1,الرياض,الرياض,السحاب,أرض,land,تجاري,commercial,1,99880627.0,285373.22,,,
2024,1,الرياض,الرياض,السحاب,أرض,land,سكني,residential,255,110628633.0,78195.75,1298.41253625538,1400.0,773.33
2024,1,الرياض,الرياض,السعادة,أرض,land,تجاري,commercial,41,99291003.0,64328.54,1734.56816950322,2600.0,1100.0
2024,1,الرياض,الرياض,السعادة,أرض,land,سكني,residential,194,173623563.01,68204.595,2402.50007331639,2570.0,2199.09
2024,1,الرياض,الرياض,السعادة,شقة,apartment,سكني,residential,85,59814309.0,13665.64,4366.95082008201,4745.81,3991.61
2024,1,الرياض,الرياض,السعادة,فيلا,villa,سكني,residential,22,19249955.0,4300.28,4805.79935437567,6023.68,4101.33
2024,1,الرياض,الرياض,السلام,أرض,land,تجاري,commercial,10,18603500.0,4937.5,3487.80952380952,3700.0,3300.0
2024,1,الرياض,الرياض,السلام,أرض,land,سكني,residential,19,24318672.54,9745.5,2683.7847770289,3333.33,2190.67
2024,1,الرياض,الرياض,السلام,شقة,apartment,سكني,residential,25,19284000.0,3351.25,5699.98621735235,6476.68,5260.9
2024,1,الرياض,الرياض,السلام,فيلا,villa,سكني,residential,3,5260000.0,937.5,,,
2024,1,الرياض,الرياض,السلي,أرض,land,تجاري,commercial,60,460983288.2,386661.23,1774.46618102411,2857.14,1210.0
2024,1,الرياض,الرياض,السلي,أرض,land,سكني,residential,32,85936646.47,60158.59,1744.77461298636,2000.0,1333.33
2024,1,الرياض,الرياض,السلي,شقة,apartment,سكني,residential,9,4743616.0,1121.48,4494.25861478263,5391.53,3330.52
2024,1,الرياض,الرياض,السلي,فيلا,villa,سكني,residential,6,6025000.0,1003.22,5798.97644917166,6304.84,4396.46
2024,1,الرياض,الرياض,السليمانية,أرض,land,تجاري,commercial,9,204656650.0,20751.34,9537.92647374088,10689.66,5305.96
2024,1,الرياض,الرياض,السليمانية,أرض,land,سكني,residential,32,199091650.95,60521.62,4409.0464335574,5458.33,3298.99
2024,1,الرياض,الرياض,السليمانية,شقة,apartment,سكني,residential,2,1580000.0,173.26,,,
2024,1,الرياض,الرياض,السليمانية,فيلا,villa,سكني,residential,16,79013333.35,9376.165,7450.79460786425,8534.62,6590.91
2024,1,الرياض,الرياض,السويدي,أرض,land,تجاري,commercial,12,22810357.0,10654.9,2792.84859876965,4265.87,1950.0
2024,1,الرياض,الرياض,السويدي,أرض,land,سكني,residential,22,12376954.22,10546.76,1358.96074937063,1520.0,1102.21
2024,1,الرياض,الرياض,السويدي,شقة,apartment,سكني,residential,25,15659373.0,4019.91,4007.16565332865,4565.85,3320.62
2024,1,الرياض,الرياض,السويدي,فيلا,villa,سكني,residential,84,68004541.2,26585.34,2633.29358068933,3854.17,1700.0
2024,1,الرياض,الرياض,السويدي الغربي,أرض,land,تجاري,commercial,4,8775000.0,2250.0,,,
2024,1,الرياض,الرياض,السويدي الغربي,أرض,land,سكني,residential,37,47284486.0,17030.05,2640.55864092586,4766.67,2080.0
2024,1,الرياض,الرياض,السويدي الغربي,شقة,apartment,سكني,residential,8,3884257.0,1242.12,3422.97940229623,3435.7,3418.61
2024,1,الرياض,الرياض,السويدي الغربي,فيلا,villa,سكني,residential,14,11340000.0,2657.28,4888.57807603857,5284.36,4567.53
2024,1,الرياض,الرياض,الشرفية,أرض,land,تجاري,commercial,1,1500000.0,136.12,,,
2024,1,الرياض,الرياض,الشرفية,أرض,land,سكني,residential,8,8194582.0,2532.59,4303.15511081553,6102.03,3215.78
2024,1,الرياض,الرياض,الشعلة,أرض,land,تجاري,commercial,2,470000.0,1500.0,,,
2024,1,الرياض,الرياض,الشعلة,أرض,land,سكني,residential,283,99407124.62,235692.26,420.030652375941,549.3,320.0
2024,1,الرياض,الرياض,الشفا,أرض,land,تجاري,commercial,12,23409077.04,10075.0,2120.38114859645,2794.05,1666.67
2024,1,الرياض,الرياض,الشفا,أرض,land,سكني,residential,43,40053675.27,26536.31,1565.02030959932,1940.0,999.48
2024,1,الرياض,الرياض,الشفا,شقة,apartment,سكني,residential,20,10596667.9,3347.2,3270.05682311096,4005.39,2301.66
2024,1,الرياض,الرياض,الشفا,فيلا,villa,سكني,residential,64,66923055.51,19352.16,3360.88264753754,4147.7,3171.92
2024,1,الرياض,الرياض,الشميسي,أرض,land,تجاري,commercial,5,15580673.85,3548.44,,,
2024,1,الرياض,الرياض,الشميسي,أرض,land,سكني,residential,12,2532000.0,1793.88,1131.38560242834,1466.47,922.97
2024,1,الرياض,الرياض,الشميسي,شقة,apartment,سكني,residential,1,160000.0,147.84,,,
2024,1,الرياض,الرياض,الشميسي,عمارة,building,سكني,residential,2,1800000.0,317.97,,,
2024,1,الرياض,الرياض,الشميسي,فيلا,villa,سكني,residential,9,6210000.0,1470.35,4239.11557112352,4740.15,3446.3
2024,1,الرياض,الرياض,الشهداء,أرض,land,تجاري,commercial,1,2000000.0,900.0,,,
2024,1,الرياض,الرياض,الشهداء,أرض,land,سكني,residential,6,11686926.4,2587.0,5475.75344761905,5600.0,5147.71
2024,1,الرياض,الرياض,الشهداء,شقة,apartment,سكني,residential,16,16143069.38,1916.76,8645.6170168135,9527.44,8000.52
2024,1,الرياض,الرياض,الشهداء,فيلا,villa,سكني,residential,7,22112324.0,2308.4,8607.64225799139,10946.75,7178.87
2024,1,الرياض,الرياض,الصالحية,أرض,land,سكني,residential,7,1585000.0,653.55,2228.50570305761,3400.78,1175.02
